,0.625 MHz,1.25 MHz,1.875 MHz,2.5 MHz,3.125 MHz,3.75 MHz,4.375 MHz,5 MHz,5.625 MHz,6.25 MHz
10597,-13568,14336,-8448,-2048,-10240,-13824,-12544,-14848,256,14080
10598,-5632,11520,15616,11008,10240,15872,13056,512,-8960,14080
10599,4352,-7168,-1280,-15872,-10240,-12032,4608,15104,-14592,14080
10600,12800,-16128,-14848,14592,10240,3328,-15872,8960,-14848,14080
10601,16128,-2560,10496,-7680,-10240,6400,5120,-9728,-9472,14080
10602,13568,14336,8448,-2048,10240,-13824,12544,-14848,-512,14080
10603,5632,11520,-15872,11008,-10240,15872,-13056,512,8704,14080
10604,-4352,-7168,1280,-15872,10240,-12032,-4608,15104,14592,14080
10605,-12800,-15872,14848,14592,-10240,3328,15872,8704,14848,14080
10606,-16128,-2816,-10496,-7680,10240,6400,-5120,-9472,9472,14080
10607,-13568,14336,-8448,-2048,-10240,-13824,-12544,-14848,256,14080
10608,-5632,11520,15616,11008,10240,15872,13056,512,-8960,14080
10609,4352,-7168,-1280,-15872,-10240,-12032,4608,15104,-14592,14080
10610,12800,-15872,-14848,14592,10240,3328,-15872,8704,-14848,14080
10611,16128,-2816,10496,-7680,-10240,6400,5120,-9472,-9472,14080
10612,13568,14336,8448,-2048,10240,-13824,12544,-14848,-256,14080
10613,5632,11520,-15872,11008,-10240,15872,-13056,512,8960,14080
10614,-4352,-7168,1280,-15872,9984,-12032,-4608,15104,14592,14080
10615,-12800,-16128,14848,14592,-10240,3328,15872,8704,14848,14080
10616,-16128,-2816,-10496,-7680,10240,6400,-5120,-9728,9472,14080
10617,-13568,14336,-8448,-2048,-10240,-13824,-12544,-14592,256,14080
10618,-5632,11520,15616,11008,9984,15872,13056,512,-8960,14080
10619,4352,-7168,-1280,-15872,-10240,-12032,4608,15104,-14592,14080
10620,12800,-16128,-14848,14592,10240,3328,-15872,8704,-14848,14080
10621,16128,-2560,10496,-7680,-10240,6400,5120,-9728,-9472,14080
10622,13312,14336,8448,-2048,10240,-13824,12544,-14848,-256,14080
10623,5632,11520,-15616,11008,-10240,15872,-13056,512,8704,14080
10624,-4352,-7168,1280,-15872,10240,-11776,-4608,15104,14592,14080
10625,-12800,-16128,14848,14592,-10240,3328,15872,8704,14848,14080
10626,-16128,-2560,-10496,-7680,10240,6400,-5120,-9472,9472,14080
10627,-13568,14336,-8448,-2048,-10240,-13824,-12544,-14592,256,14080
10628,-5632,11520,15616,11008,10240,15872,13056,512,-8960,14080
10629,4352,-7168,-1280,-15872,-10240,-12032,4608,15104,-14592,14080
10630,12800,-15872,-14848,14592,10240,3328,-15872,8704,-14848,14080
10631,16128,-2816,10496,-7680,-10240,6400,5120,-9472,-9472,14080
10632,13568,14336,8448,-2048,10240,-13824,12544,-14848,-256,14080
10633,5632,11520,-15872,11008,-10240,15872,-13056,512,8960,14080
10634,-4352,-7168,1280,-15872,10240,-12032,-4608,15104,14592,14080
10635,-12800,-16128,14848,14592,-10240,3328,15872,8704,14848,14080
10636,-16128,-2560,-10496,-7680,10240,6400,-5120,-9472,9472,14080
10637,-13568,14336,-8448,-2048,-10240,-13824,-12544,-14848,256,14080
10638,-5632,11520,15616,11008,10240,15872,13056,512,-8960,14080
10639,4352,-7168,-1280,-15872,-10240,-11776,4608,15104,-14592,14080
10640,12800,-16128,-14848,14592,10240,3328,-15872,8704,-14848,14080
10641,16128,-2560,10496,-7680,-10240,6400,5120,-9728,-9472,14080
10642,13568,14336,8448,-2048,10240,-13824,12544,-14848,-512,14080
10643,5632,11520,-15872,11008,-10240,15872,-13056,512,8960,14080
10644,-4352,-7168,1280,-15872,10240,-11776,-4608,15104,14592,14080
10645,-12800,-16128,14848,14592,-10240,3328,15872,8704,14848,14080
10646,-16128,-2560,-10496,-7680,10240,6400,-5120,-9472,9472,14080
10647,-13568,14336,-8448,-2048,-10240,-13824,-12544,-14848,256,14080
10648,-5632,11520,15616,11008,10240,15872,13056,512,-8704,14080
10649,4352,-7168,-1280,-15872,-10240,-12032,4608,15104,-14592,14080
10650,12800,-16128,-14848,14592,10240,3328,-15872,8704,-14848,14080
10651,16128,-2816,10496,-7680,-10240,6400,5120,-9472,-9472,14080
10652,13568,14336,8448,-2048,10240,-13824,12544,-14592,-256,14080
10653,5632,11520,-15616,11008,-10240,15872,-13056,512,8704,14080
10654,-4352,-7168,1280,-15872,10240,-12032,-4608,15104,14592,14080
10655,-12800,-16128,14848,14592,-10240,3328,15872,8704,14848,14080
10656,-16128,-2816,-10496,-7680,10240,6400,-5120,-9472,9472,14080
10657,-13568,14336,-8448,-2048,-10240,-13824,-12544,-14848,256,14080
10658,-5632,11520,15616,11008,10240,15872,13056,512,-8960,14080
10659,4352,-7168,-1280,-15872,-10240,-12032,4608,15104,-14592,14080
10660,12800,-16128,-14848,14592,10240,3328,-15872,8960,-14848,14080
10661,16128,-2560,10496,-7680,-10240,6400,5120,-9472,-9472,14080
